class, main_axis, max_defect, min_defect, area_ratio
2, 91.302, 8681, 711, 0.3742730867643638
2, 106.438, 9880, 162, 0.3776163293547829
2, 124.31, 10771, 114, 0.37865958668197475
2, 104.403, 9610, 114, 0.3736591735845537
2, 130.817, 11061, 256, 0.3783477076713572
2, 97.985, 8629, 114, 0.37524644030668125
2, 109.659, 9571, 162, 0.37531551919227085
2, 113.217, 10129, 986, 0.37515236755743087
2, 127.004, 11290, 114, 0.3768887137038497
2, 122.589, 9275, 256, 0.37670853343184335
2, 99.644, 9483, 162, 0.3737148399612027
2, 114.809, 10403, 114, 0.3754646840148699
2, 95.383, 8456, 861, 0.3704015388314499
2, 123.968, 10971, 142, 0.37784588441330996
2, 101.02, 8960, 787, 0.37431114879186095
2, 93.941, 8212, 114, 0.3733646013330042
2, 124.064, 9995, 114, 0.3751264755480607
2, 114.039, 10496, 848, 0.3731425426527243
2, 107.703, 9324, 114, 0.3756345177664975
2, 93.984, 8492, 830, 0.37601260126012603
2, 109.659, 9504, 201, 0.378101165950732
2, 104.293, 10104, 114, 0.37448518332496233
2, 121.491, 10804, 1055, 0.3767461313258051
2, 99.035, 8846, 142, 0.37355088020609706
2, 104.278, 9608, 162, 0.3736737996763172
2, 117.881, 10047, 962, 0.3791932907348243
2, 100.319, 8823, 934, 0.374767513949163
2, 103.247, 9736, 162, 0.3771460217832749
2, 113.759, 10183, 114, 0.37713147410358566
2, 120.503, 10875, 1182, 0.378479293957909
2, 95.88, 8372, 162, 0.36933497536945814
2, 92.779, 8346, 162, 0.3735836099347602
2, 92.655, 8367, 114, 0.3734131736526946
2, 106.93, 10342, 114, 0.3771750673964545
2, 117.686, 10558, 142, 0.37248701152021685
2, 119.854, 10357, 114, 0.37510411145604605
2, 105.551, 9919, 114, 0.3740907835374275
2, 116.039, 9272, 114, 0.3755799032671997
2, 102.343, 9199, 114, 0.37445371473976957
2, 108.674, 10108, 114, 0.37594100476263637
2, 99.985, 9395, 114, 0.3764028496145213
2, 98.153, 8209, 114, 0.37438423645320196
2, 99.624, 8736, 114, 0.3756119270137962
2, 102.069, 9708, 114, 0.3755559853026494
2, 88.888, 8187, 750, 0.37716727716727716
2, 126.289, 11094, 162, 0.3812256609961058
2, 118.068, 9846, 114, 0.3746043567305902
2, 108.227, 9374, 872, 0.37401681583943586
2, 113.442, 9263, 162, 0.37514135910352625
2, 111.517, 10177, 114, 0.3757512621203622
2, 121.38, 10811, 114, 0.3761352522006427
2, 124.74, 10614, 114, 0.37629317902858145
2, 106.85, 10141, 849, 0.3724828886023212
2, 130.507, 11491, 114, 0.37865036735197877
2, 125.575, 9850, 1120, 0.37557603686635943
2, 113.719, 10396, 848, 0.3763767565514622
2, 88.6, 8025, 772, 0.3759620318111852
2, 106.283, 10115, 186, 0.3794479547721982
2, 112.004, 9781, 966, 0.3754873707408035
2, 106.508, 10121, 114, 0.3733310655667999
2, 124.908, 10779, 1096, 0.3776235198040016
2, 116.482, 10038, 114, 0.37585000971439675
2, 101.71, 9064, 857, 0.37630997019517354
2, 100.603, 9072, 114, 0.37352847597836464
2, 100.265, 9070, 894, 0.37233035244608104
2, 98.884, 8701, 114, 0.37441063009001285
2, 121.198, 9544, 1189, 0.3772893772893773
2, 99.825, 8816, 114, 0.3753936594583246
2, 114.481, 10646, 201, 0.37664032480243603
2, 110.549, 9540, 256, 0.37788218915861826
2, 90.824, 7967, 801, 0.37292464878671777
2, 109.238, 10390, 1111, 0.3771415341873746
2, 111.987, 10049, 938, 0.3762586532410321
2, 90.824, 8208, 162, 0.3766312964995731
2, 98.351, 8886, 142, 0.3720652173913043
2, 112.071, 10047, 950, 0.3765840439945804
2, 108.674, 9856, 861, 0.3721990493743331
2, 100.245, 8560, 256, 0.3718610654775874
2, 116.692, 10253, 898, 0.3753584229390681
2, 103.586, 10099, 114, 0.37118627546544497
2, 97.082, 8712, 835, 0.37819328187846507
2, 115.412, 9987, 162, 0.3773681954564938
2, 94.048, 8192, 724, 0.3692418426103647
2, 122.413, 10686, 114, 0.37513725490196076
2, 105.309, 9347, 905, 0.37195863746958635
2, 115.278, 10161, 1092, 0.37892046774568267
2, 106.099, 10052, 186, 0.37651854871585816
2, 113.159, 10813, 142, 0.3738691718858734
3, 7.071, 19288, 114, 77.55555555555556
3, 117.004, 11869, 114, 0.3867835664082313
3, 124.326, 13996, 114, 0.38593569873190725
3, 7.28, 12683, 114, 72.68852459016394
3, 9.22, 17035, 142, 69.07608695652173
3, 7.28, 24525, 114, 75.86764705882354
